alt,bar,fri,hun,pat,price,rain,res,type,est,wait
yes,no,no,yes,some,3,no,yes,French,10,yes
yes,no,no,yes,full,1,no,no,Thai,30,no
no,yes,no,no,some,1,no,no,Burger,10,yes
yes,no,yes,yes,full,1,yes,no,Thai,30,yes
yes,no,yes,no,full,3,no,yes,French,60,no
no,yes,no,yes,some,2,yes,yes,Italian,10,yes
no,yes,no,no,none,1,yes,no,Burger,10,no
no,no,no,yes,some,2,yes,yes,Thai,10,yes
no,yes,yes,no,full,1,yes,no,Burger,60,no
yes,yes,yes,yes,full,3,no,yes,Italian,30,no
no,no,no,no,none,1,no,no,Thai,10,no
yes,yes,yes,yes,full,1,no,no,Burger,30,yes
